一: 一
二: 一一
三: 一一一
四: 田金
五: 一木一
六: 卜金
七: 十山
八: 竹人
九: 大弓
十: 十
百: 一日
千: 竹十
日: 日
月: 月
火: 火
水: 水
木: 木
金: 金
土: 土
下: 一卜
上: 卜一
左: 大一
右: 大口
大: 大
中: 中
小: 弓金
手: 手
足: 口卜人
目: 月山 * 田中中
耳: 尸十
口: 口
人: 人
子: 弓木
女: 女
男: 田大尸
名: 弓戈口
年: 人手
山: 山
川: 中中中
森: 木木木
林: 木木
田: 田
空: 十金一
雨: 一中月卜
天: 一大
気: 
夕: 弓戈
花: 廿人心
草: 廿日十
竹: 竹
犬: 戈大
虫: 中一戈
貝: 月山金
石: 一口
王: 一土
玉: 一土戈
力: 大尸
糸: 女戈火
車: 十田十
音: 卜廿日
学: 
校: 木卜金大
先: 竹土竹山
生: 竹手一
字: 十弓木
文: 卜大
本: 木一
村: 木木戈
町: 田一弓
白: 竹日
赤: 土中弓金
青: 手一月
円: 
正: 一卜中一
早: 日十
入: 人竹
出: 山山
立: 卜廿
休: 人木
見: 月山竹山
