咽;1;いん;咽喉

姻;1;いん;姻族，婚姻

員;1;いん;満員，定員，社員	

院;1;いん;院内，議院，病院	
	 	 	 	 		
淫;1;いん;淫行，淫乱;＊［（付）第２の３参照］
淫;2;みだら;淫らだ

陰;1;いん;陰気，陰性，光陰
陰;2;かげ;陰，日陰;⇔ 影
陰;3;かげる;陰る，陰り

飲;1;いん;飲料，飲食，痛飲
飲;2;のむ;飲む，飲み水

隠;1;いん;隠居，隠忍，隠語
隠;2;かくす;隠す
隠;3;かくれる;隠れる，雲隠れ

韻;1;いん;韻律，韻文，音韻

右;1;う;右岸，右折，右派
右;2;ゆう;左右，座右
右;3;みぎ;右，右手

宇;1;う;宇宙，気宇，堂宇

羽;1;う;羽毛，羽化，羽翼
羽;2;は;白羽の矢，一羽（わ），三羽（ば），六羽（ぱ）;「羽（は）」は，前に来る音によって「わ」，「ば」，「ぱ」になる。
羽;3;はね;羽，羽飾り

雨;1;う;雨量，降雨;梅雨（つゆ・ばいう），時雨（しぐれ・じう）
雨;2;あめ;雨，大雨;五月雨（さみだれ・さつきあめ）
雨;3;あま;雨雲，雨戸，雨具
雨;4;さめ;春雨（はるさめ），小雨（こさめ），霧雨（きりさめ）

唄;1;うた;小唄，長唄;⇔ 歌

鬱;1;うつ;憂鬱
